technique,implementation,campaign,iteration,result,pass_delta,failure_delta,stage,stage_name,fault_target,fault_name,fault_value,initial_value,expected,value,restart_status,restart_status_name,active_check,active_check_name,checkpoint_check,checkpoint_check_name,active_value,checkpoint_value,passes,failures,seed,fault_mode,target_kind,target_name,inject_pc,inject_offset,target_addr,bit,before,after,qemu_plugin_api
checkpoint,c,reg-bitflip-window,1,pass,1,0,7,after_commit,0,none,0,137,364,364,0,committed,0,ok,0,ok,364,364,1,0,255,reg-bitflip-window,reg,r8,0x6e,1,0x0,26,0,67108864,5
checkpoint,c,reg-bitflip-window,2,pass,1,0,7,after_commit,0,none,0,174,417,417,0,committed,0,ok,0,ok,417,417,2,0,255,reg-bitflip-window,reg,r4,0x5e8,7,0x0,16,1000,66536,5
checkpoint,c,reg-bitflip-window,3,pass,1,0,7,after_commit,0,none,0,211,470,470,0,committed,0,ok,0,ok,470,470,3,0,255,reg-bitflip-window,reg,r1,0x4d6,49,0x0,24,0,16777216,5
checkpoint,c,reg-bitflip-window,4,pass,1,0,7,after_commit,0,none,0,248,523,523,0,committed,0,ok,0,ok,523,523,4,0,255,reg-bitflip-window,reg,r3,0x5f2,10,0x0,29,541064968,4194056,5
checkpoint,c,reg-bitflip-window,5,pass,1,0,7,after_commit,0,none,0,285,576,576,0,committed,0,ok,0,ok,576,576,5,0,255,reg-bitflip-window,reg,r2,0x4d2,47,0x0,23,27,8388635,5
checkpoint,c,reg-bitflip-window,6,pass,1,0,7,after_commit,0,none,0,322,629,629,0,committed,0,ok,0,ok,629,629,6,0,255,reg-bitflip-window,reg,r0,0xa0a,29,0x0,24,4294967286,4278190070,5
checkpoint,c,reg-bitflip-window,7,pass,1,0,7,after_commit,0,none,0,359,682,682,0,committed,0,ok,0,ok,682,682,7,0,255,reg-bitflip-window,reg,r0,0x4be,39,0x0,15,2684,35452,5
checkpoint,c,reg-bitflip-window,8,pass,1,0,7,after_commit,0,none,0,396,735,735,0,committed,0,ok,0,ok,735,735,8,0,255,reg-bitflip-window,reg,r12,0x4b8,37,0x0,26,541064968,608173832,5
checkpoint,c,reg-bitflip-window,9,pass,1,0,7,after_commit,0,none,0,433,788,788,0,committed,0,ok,0,ok,788,788,9,0,255,reg-bitflip-window,reg,r10,0x4f2,54,0x0,24,0,16777216,5
checkpoint,c,reg-bitflip-window,10,pass,1,0,7,after_commit,0,none,0,470,141,141,0,committed,0,ok,0,ok,141,141,10,0,255,reg-bitflip-window,reg,r3,0x4b8,37,0x0,22,541064968,545259272,5
checkpoint,c,reg-bitflip-window,11,pass,1,0,7,after_commit,0,none,0,507,194,194,0,committed,0,ok,0,ok,194,194,11,0,255,reg-bitflip-window,reg,r3,0x4f6,56,0x0,5,541064968,541065000,5
checkpoint,c,reg-bitflip-window,12,pass,1,0,7,after_commit,0,none,0,544,247,247,0,committed,0,ok,0,ok,247,247,12,0,255,reg-bitflip-window,reg,r2,0x5fe,14,0x0,3,27,19,5
checkpoint,c,reg-bitflip-window,13,pass,1,0,7,after_commit,0,none,0,581,300,300,0,committed,0,ok,0,ok,300,300,13,0,255,reg-bitflip-window,reg,r3,0x4ba,38,0x0,22,541064968,545259272,5
checkpoint,c,reg-bitflip-window,14,pass,1,0,7,after_commit,0,none,0,618,353,353,0,committed,0,ok,0,ok,353,353,14,0,255,reg-bitflip-window,reg,r12,0x4ba,38,0x0,18,541064968,540802824,5
checkpoint,c,reg-bitflip-window,15,pass,1,0,7,after_commit,0,none,0,655,406,406,0,committed,0,ok,0,ok,406,406,15,0,255,reg-bitflip-window,reg,r3,0x4d4,48,0x0,10,541064968,541063944,5
checkpoint,c,reg-bitflip-window,16,pass,1,0,7,after_commit,0,none,0,692,459,459,0,committed,0,ok,0,ok,459,459,16,0,255,reg-bitflip-window,reg,r6,0x622,28,0x0,9,0,512,5
checkpoint,c,reg-bitflip-window,17,pass,1,0,7,after_commit,0,none,0,729,512,512,0,committed,0,ok,0,ok,512,512,17,0,255,reg-bitflip-window,reg,r10,0x4d2,47,0x0,9,16777216,16777728,5
checkpoint,c,reg-bitflip-window,18,pass,1,0,7,after_commit,0,none,0,766,565,565,0,committed,0,ok,0,ok,565,565,18,0,255,reg-bitflip-window,reg,r6,0x500,60,0x0,26,512,67109376,5
checkpoint,c,reg-bitflip-window,19,pass,1,0,7,after_commit,0,none,0,103,618,618,0,committed,0,ok,0,ok,618,618,19,0,255,reg-bitflip-window,reg,r5,0x6e,1,0x0,19,6,524294,5
checkpoint,c,reg-bitflip-window,20,pass,1,0,7,after_commit,0,none,0,140,671,671,0,committed,0,ok,0,ok,671,671,20,0,255,reg-bitflip-window,reg,r8,0x5ee,9,0x0,14,67108864,67125248,5
