technique,implementation,campaign,iteration,result,pass_delta,failure_delta,stage,stage_name,fault_target,fault_name,fault_value,expected,value,status,status_name,passes,failures,seed,fault_mode,target_kind,target_name,inject_pc,inject_offset,target_addr,bit,before,after,qemu_plugin_api
tmr,zig,reg-bitflip-window,1,pass,1,0,3,after_read,0,none,0,3295508913,3295508913,0,ok,1,0,1638,reg-bitflip-window,reg,r9,0x1c436,36,0x0,28,0,268435456,5
tmr,zig,reg-bitflip-window,2,pass,1,0,3,after_read,0,none,0,1714746210,1714746210,0,ok,2,0,1638,reg-bitflip-window,reg,r6,0x1c314,62,0x0,5,0,32,5
tmr,zig,reg-bitflip-window,3,pass,1,0,3,after_read,0,none,0,2164026643,2164026643,0,ok,3,0,1638,reg-bitflip-window,reg,r9,0x1c056,50,0x0,9,268435456,268435968,5
tmr,zig,reg-bitflip-window,4,pass,1,0,3,after_read,0,none,0,579331780,579331780,0,ok,4,0,1638,reg-bitflip-window,reg,r5,0x1c052,48,0x0,25,0,33554432,5
tmr,zig,reg-bitflip-window,5,pass,1,0,3,after_read,0,none,0,1297047669,1297047669,0,ok,5,0,1638,reg-bitflip-window,reg,r7,0x1c438,23,0x0,8,541064904,541065160,5
tmr,zig,reg-bitflip-window,6,pass,1,0,3,after_read,0,none,0,4011252262,4011252262,0,ok,6,0,1638,reg-bitflip-window,reg,r12,0x1c05a,52,0x0,25,4011252262,3977697830,5
tmr,zig,reg-bitflip-window,7,pass,1,0,3,after_read,0,none,0,165565399,165565399,0,ok,7,0,1638,reg-bitflip-window,reg,r10,0x1c316,63,0x0,12,0,4096,5
tmr,zig,reg-bitflip-window,8,pass,1,0,3,after_read,0,none,0,2883702152,2883702152,0,ok,8,0,1638,reg-bitflip-window,reg,r9,0x1c42c,31,0x0,9,268435968,268435456,5
tmr,zig,reg-bitflip-window,9,pass,1,0,3,after_read,0,none,0,3584640825,3584640825,0,ok,9,0,1638,reg-bitflip-window,reg,r11,0x1c2da,24,0x0,16,0,65536,5
tmr,zig,reg-bitflip-window,10,pass,1,0,3,after_read,0,none,0,1953546474,1953546474,0,ok,10,0,1638,reg-bitflip-window,reg,r7,0x1c436,36,0x0,5,541064904,541064936,5
tmr,zig,reg-bitflip-window,11,pass,1,0,3,after_read,0,none,0,2520267419,2520267419,0,ok,11,0,1638,reg-bitflip-window,reg,r4,0x1c2ca,12,0x0,21,0,2097152,5
tmr,zig,reg-bitflip-window,12,pass,1,0,3,after_read,0,none,0,818132044,818132044,0,ok,12,0,1638,reg-bitflip-window,reg,r10,0x1c2f8,43,0x0,11,4096,6144,5
tmr,zig,reg-bitflip-window,13,pass,1,0,3,after_read,0,none,0,1384852989,1384852989,0,ok,13,0,1638,reg-bitflip-window,reg,r9,0x1c2f2,40,0x0,22,268435456,272629760,5
tmr,zig,reg-bitflip-window,14,pass,1,0,3,after_read,0,none,0,4250052526,4250052526,0,ok,14,0,1638,reg-bitflip-window,reg,r6,0x1c316,63,0x0,29,32,536870944,5
tmr,zig,reg-bitflip-window,15,pass,1,0,3,after_read,0,none,0,521806175,521806175,0,ok,15,0,1638,reg-bitflip-window,reg,r3,0x1c306,55,0x0,20,0,1048576,5
tmr,zig,reg-bitflip-window,16,pass,1,0,3,after_read,0,none,0,3106773776,3106773776,0,ok,16,0,1638,reg-bitflip-window,reg,r9,0x1c2e2,28,0x0,2,272629760,272629764,5
tmr,zig,reg-bitflip-window,17,pass,1,0,3,after_read,0,none,0,3690271937,3690271937,0,ok,17,0,1638,reg-bitflip-window,reg,r11,0x1c056,50,0x0,23,65536,8454144,5
tmr,zig,reg-bitflip-window,18,pass,1,0,3,after_read,0,none,0,1169985138,1169985138,0,ok,18,0,1638,reg-bitflip-window,reg,r2,0x1c306,55,0x0,9,0,512,5
tmr,zig,reg-bitflip-window,19,pass,1,0,3,after_read,0,none,0,3829663779,3829663779,0,ok,19,0,1638,reg-bitflip-window,reg,r10,0x1c2f2,40,0x0,16,6144,71680,5
tmr,zig,reg-bitflip-window,20,pass,1,0,3,after_read,0,none,0,101679572,101679572,0,ok,20,0,1638,reg-bitflip-window,reg,r8,0x1bf90,4,0x0,7,0,128,5
